Run	Experiment	Platform	LibraryName	LibraryLayout	Sample	ScientificName	SampleName
SRR015096	SRX003838	ILLUMINA	ML-DmBG3-c2-122	PAIRED	SRS002591	Drosophila melanogaster	ML-DmBG3-c2-122
SRR015098	SRX003839	ILLUMINA	ML-DmBG3-c2-124	PAIRED	SRS002592	Drosophila melanogaster	ML-DmBG3-c2-124
SRR015100	SRX003839	ILLUMINA	ML-DmBG3-c2-124	PAIRED	SRS002592	Drosophila melanogaster	ML-DmBG3-c2-124
SRR015102	SRX003839	ILLUMINA	ML-DmBG3-c2-124	PAIRED	SRS002592	Drosophila melanogaster	ML-DmBG3-c2-124
SRR015104	SRX003840	ILLUMINA	S2-DRSC-14	PAIRED	SRS002593	Drosophila melanogaster	S2-DRSC-14
SRR015106	SRX003840	ILLUMINA	S2-DRSC-14	PAIRED	SRS002593	Drosophila melanogaster	S2-DRSC-14
SRR015108	SRX003841	ILLUMINA	S2-DRSC-16	PAIRED	SRS002594	Drosophila melanogaster	S2-DRSC-16
SRR015110	SRX003841	ILLUMINA	S2-DRSC-16	PAIRED	SRS002594	Drosophila melanogaster	S2-DRSC-16
SRR015112	SRX003841	ILLUMINA	S2-DRSC-16	PAIRED	SRS002594	Drosophila melanogaster	S2-DRSC-16
SRR015074	SRX003834	ILLUMINA	CME_W1_Cl.8+-60	PAIRED	SRS002587	Drosophila melanogaster	CME_W1_Cl.8+-60
SRR015076	SRX003834	ILLUMINA	CME_W1_Cl.8+-60	PAIRED	SRS002587	Drosophila melanogaster	CME_W1_Cl.8+-60
SRR015078	SRX003834	ILLUMINA	CME_W1_Cl.8+-60	PAIRED	SRS002587	Drosophila melanogaster	CME_W1_Cl.8+-60
SRR015080	SRX003835	ILLUMINA	CME_W1_Cl.8+-62	PAIRED	SRS002588	Drosophila melanogaster	CME_W1_Cl.8+-62
SRR015082	SRX003835	ILLUMINA	CME_W1_Cl.8+-62	PAIRED	SRS002588	Drosophila melanogaster	CME_W1_Cl.8+-62
SRR015372	SRX003967	ILLUMINA	small RNA from S2 cells (S2-NP)	SINGLE	SRS002735	Drosophila melanogaster	small RNA from S2 cells (S2-NP)
SRR018039	SRX005023	ILLUMINA	dmel_female_body	SINGLE	SRS003138	Drosophila melanogaster	dmel_female_body
SRR016853	SRX005024	ILLUMINA	dmel_imaginal-disc-brain	SINGLE	SRS003139	Drosophila melanogaster	dmel_imaginal-disc-brain
SRR016854	SRX005025	ILLUMINA	dmel_male_body	SINGLE	SRS003140	Drosophila melanogaster	dmel_male_body
SRR016855	SRX005026	ILLUMINA	dmel_Kc	SINGLE	SRS003141	Drosophila melanogaster	dmel_Kc
SRR019717	SRX006980	ILLUMINA	Drosophila OSS cell small RNA libraries, rep1	SINGLE	SRS004371	Drosophila melanogaster	Drosophila OSS cell small RNA libraries, rep1
SRR019718	SRX006981	ILLUMINA	Drosophila OSS cell small RNA libraries, rep2	SINGLE	SRS004372	Drosophila melanogaster	Drosophila OSS cell small RNA libraries, rep2
SRR019719	SRX006982	ILLUMINA	Drosophila OSS cell small RNA libraries, rep3	SINGLE	SRS004373	Drosophila melanogaster	Drosophila OSS cell small RNA libraries, rep3
SRR019720	SRX006983	ILLUMINA	Drosophila OSS cell small RNA libraries, rep4	SINGLE	SRS004374	Drosophila melanogaster	Drosophila OSS cell small RNA libraries, rep4
SRR028728	SRX011859	ILLUMINA	dmel_Kc167_rep1	SINGLE	SRS006274	Drosophila melanogaster	GSM399100
SRR028729	SRX011860	ILLUMINA	dmel_Kc167_rep2	SINGLE	SRS006275	Drosophila melanogaster	GSM399101
SRR029023	SRX012152	ILLUMINA	Kc167_42.2	SINGLE	SRS006553	Drosophila melanogaster	GSM427868
SRR029024	SRX012153	ILLUMINA	Kc167_42.3	SINGLE	SRS006554	Drosophila melanogaster	GSM427869
SRR029025	SRX012154	ILLUMINA	Kc167_42.4	SINGLE	SRS006555	Drosophila melanogaster	GSM427870
SRR029026	SRX012155	ILLUMINA	Kc167_42.6	SINGLE	SRS006556	Drosophila melanogaster	GSM427871
SRR029027	SRX012156	ILLUMINA	Kc167_42.7	SINGLE	SRS006557	Drosophila melanogaster	GSM427872
SRR029308	SRX012350	ILLUMINA	Dm_emb_16-18h_Total_Ap	SINGLE	SRS006828	Drosophila melanogaster	GSM439966
SRR030226	SRX012974	ILLUMINA	E12-16_combined_RNAseq_1, 2	SINGLE	SRS007220	Drosophila melanogaster	GSM451803
SRR030227	SRX012974	ILLUMINA	E12-16_combined_RNAseq_1, 2	SINGLE	SRS007220	Drosophila melanogaster	GSM451803
SRR030228	SRX012975	ILLUMINA	AdultMale_combined_RNAseq_1, 2	SINGLE	SRS007221	Drosophila melanogaster	GSM451804
SRR030229	SRX012975	ILLUMINA	AdultMale_combined_RNAseq_1, 2	SINGLE	SRS007221	Drosophila melanogaster	GSM451804
SRR030230	SRX012976	ILLUMINA	AdultFemale_combined_RNAseq_1, 2	SINGLE	SRS007222	Drosophila melanogaster	GSM451805
SRR030231	SRX012976	ILLUMINA	AdultFemale_combined_RNAseq_1, 2	SINGLE	SRS007222	Drosophila melanogaster	GSM451805
SRR030232	SRX012977	ILLUMINA	E0-4_combined_RNAseq_1,2	SINGLE	SRS007223	Drosophila melanogaster	GSM451806
SRR030233	SRX012977	ILLUMINA	E0-4_combined_RNAseq_1,2	SINGLE	SRS007223	Drosophila melanogaster	GSM451806
SRR030234	SRX012978	ILLUMINA	E16-20_combined_RNAseq_1,2	SINGLE	SRS007224	Drosophila melanogaster	GSM451807
SRR030235	SRX012978	ILLUMINA	E16-20_combined_RNAseq_1,2	SINGLE	SRS007224	Drosophila melanogaster	GSM451807
SRR030236	SRX012979	ILLUMINA	E8-12_combined_RNAseq_1,2	SINGLE	SRS007225	Drosophila melanogaster	GSM451808
SRR030237	SRX012979	ILLUMINA	E8-12_combined_RNAseq_1,2	SINGLE	SRS007225	Drosophila melanogaster	GSM451808
SRR030238	SRX012980	ILLUMINA	E4-8_combined_RNAseq_1,2	SINGLE	SRS007226	Drosophila melanogaster	GSM451809
SRR030239	SRX012980	ILLUMINA	E4-8_combined_RNAseq_1,2	SINGLE	SRS007226	Drosophila melanogaster	GSM451809
SRR030240	SRX012981	ILLUMINA	E20-24_combined_RNAseq_1, 2	SINGLE	SRS007227	Drosophila melanogaster	GSM451810
SRR030241	SRX012981	ILLUMINA	E20-24_combined_RNAseq_1, 2	SINGLE	SRS007227	Drosophila melanogaster	GSM451810
SRR030242	SRX012982	ILLUMINA	L1_combined_RNAseq_1,2	SINGLE	SRS007228	Drosophila melanogaster	GSM451811
SRR030243	SRX012982	ILLUMINA	L1_combined_RNAseq_1,2	SINGLE	SRS007228	Drosophila melanogaster	GSM451811
SRR030244	SRX012983	ILLUMINA	L3_combined_RNAseq_1,2	SINGLE	SRS007229	Drosophila melanogaster	GSM451812
SRR030245	SRX012983	ILLUMINA	L3_combined_RNAseq_1,2	SINGLE	SRS007229	Drosophila melanogaster	GSM451812
SRR030246	SRX012984	ILLUMINA	Pupae_combined_RNAseq_1,2	SINGLE	SRS007230	Drosophila melanogaster	GSM451813
SRR030247	SRX012984	ILLUMINA	Pupae_combined_RNAseq_1,2	SINGLE	SRS007230	Drosophila melanogaster	GSM451813
SRR030248	SRX012985	ILLUMINA	L2_combined_RNAseq_1, 2	SINGLE	SRS007231	Drosophila melanogaster	GSM453867
SRR030249	SRX012985	ILLUMINA	L2_combined_RNAseq_1, 2	SINGLE	SRS007231	Drosophila melanogaster	GSM453867
SRR031708	SRX014458	ILLUMINA	S2_DRSC_Untreated-1	SINGLE	SRS008446	Drosophila melanogaster	GSM461176
SRR031709	SRX014458	ILLUMINA	S2_DRSC_Untreated-1	SINGLE	SRS008446	Drosophila melanogaster	GSM461176
SRR031710	SRX014458	ILLUMINA	S2_DRSC_Untreated-1	SINGLE	SRS008446	Drosophila melanogaster	GSM461176
SRR031711	SRX014458	ILLUMINA	S2_DRSC_Untreated-1	SINGLE	SRS008446	Drosophila melanogaster	GSM461176
SRR031712	SRX014458	ILLUMINA	S2_DRSC_Untreated-1	SINGLE	SRS008446	Drosophila melanogaster	GSM461176
SRR031713	SRX014458	ILLUMINA	S2_DRSC_Untreated-1	SINGLE	SRS008446	Drosophila melanogaster	GSM461176
SRR031714	SRX014459	ILLUMINA	S2_DRSC_Untreated-3	PAIRED	SRS008447	Drosophila melanogaster	GSM461177
SRR031715	SRX014459	ILLUMINA	S2_DRSC_Untreated-3	PAIRED	SRS008447	Drosophila melanogaster	GSM461177
SRR031716	SRX014460	ILLUMINA	S2_DRSC_Untreated-4	PAIRED	SRS008448	Drosophila melanogaster	GSM461178
SRR031717	SRX014460	ILLUMINA	S2_DRSC_Untreated-4	PAIRED	SRS008448	Drosophila melanogaster	GSM461178
SRR031718	SRX014461	ILLUMINA	S2_DRSC_CG8144_RNAi-1	SINGLE	SRS008449	Drosophila melanogaster	GSM461179
SRR031719	SRX014461	ILLUMINA	S2_DRSC_CG8144_RNAi-1	SINGLE	SRS008449	Drosophila melanogaster	GSM461179
SRR031720	SRX014461	ILLUMINA	S2_DRSC_CG8144_RNAi-1	SINGLE	SRS008449	Drosophila melanogaster	GSM461179
SRR031721	SRX014461	ILLUMINA	S2_DRSC_CG8144_RNAi-1	SINGLE	SRS008449	Drosophila melanogaster	GSM461179
SRR031722	SRX014461	ILLUMINA	S2_DRSC_CG8144_RNAi-1	SINGLE	SRS008449	Drosophila melanogaster	GSM461179
SRR031723	SRX014461	ILLUMINA	S2_DRSC_CG8144_RNAi-1	SINGLE	SRS008449	Drosophila melanogaster	GSM461179
SRR031724	SRX014462	ILLUMINA	S2_DRSC_CG8144_RNAi-3	PAIRED	SRS008450	Drosophila melanogaster	GSM461180
SRR031725	SRX014462	ILLUMINA	S2_DRSC_CG8144_RNAi-3	PAIRED	SRS008450	Drosophila melanogaster	GSM461180
SRR031726	SRX014463	ILLUMINA	S2_DRSC_CG8144_RNAi-4	PAIRED	SRS008451	Drosophila melanogaster	GSM461181
SRR031727	SRX014463	ILLUMINA	S2_DRSC_CG8144_RNAi-4	PAIRED	SRS008451	Drosophila melanogaster	GSM461181
